time,over $1K,over $10K,over $100K,over $1M,over $10M
2010-10-08,27,0,0,0,0
2010-10-09,31,0,0,0,0
2010-10-10,30,0,0,0,0
2010-10-11,30,0,0,0,0
2010-10-12,30,0,0,0,0
2010-10-13,36,0,0,0,0
2010-10-14,34,0,0,0,0
2010-10-15,35,0,0,0,0
2010-10-16,37,0,0,0,0
2010-10-17,37,0,0,0,0
2010-10-18,38,0,0,0,0
2010-10-19,31,0,0,0,0
2010-10-20,31,0,0,0,0
2010-10-21,42,95000,0,0,0
2010-10-22,40,0,0,0,0
2010-10-23,40,97000,0,0,0
2010-10-24,48,95000,0,0,0
2010-10-25,57,247374.36,0,0,0
2010-10-26,59,250074.36,0,0,0
2010-10-27,69,240074.36,0,0,0
2010-10-28,69,237374.36,0,0,0
2010-10-29,72,237374.36,0,0,0
2010-10-30,74,237374.36,0,0,0
2010-10-31,73,237374.36,0,0,0
2010-11-01,74,237374.36,0,0,0
2010-11-02,71,237374.36,0,0,0
2010-11-03,71,245374.36,0,0,0
2010-11-04,84,292124.36,0,0,0
2010-11-05,97,292124.36,0,0,0
2010-11-06,137,675581.3,0,0,0
2010-11-07,114,571829.14,0,0,0
2010-11-08,88,337124.36,0,0,0
2010-11-09,83,292374.36,0,0,0
2010-11-10,84,337124.36,0,0,0
2010-11-11,83,292374.36,0,0,0
2010-11-12,97,377124.36,0,0,0
2010-11-13,97,377124.36,0,0,0
2010-11-14,100,377124.36,0,0,0
2010-11-15,100,377124.36,0,0,0
2010-11-16,86,337124.36,0,0,0
2010-11-17,92,337124.36,0,0,0
2010-11-18,102,377124.36,0,0,0
2010-11-19,103,377124.36,0,0,0
2010-11-20,104,412659.36,0,0,0
2010-11-21,105,377124.36,0,0,0
2010-11-22,106,412659.36,0,0,0
2010-11-23,106,377124.36,0,0,0
2010-11-24,107,377124.36,0,0,0
2010-11-25,106,377124.36,0,0,0
2010-11-26,107,377124.36,0,0,0
2010-11-27,107,377124.36,0,0,0
2010-11-28,105,377124.36,0,0,0
2010-11-29,93,337124.36,0,0,0
2010-11-30,92,292374.36,0,0,0
2010-12-01,96,336374.36,0,0,0
2010-12-02,105,376374.36,0,0,0
2010-12-03,105,376374.36,0,0,0
2010-12-04,94,292374.36,0,0,0
2010-12-05,94,292374.36,0,0,0
2010-12-06,96,212374.36,0,0,0
2010-12-07,99,303817.67,0,0,0
2010-12-08,101,308001.77,0,0,0
2010-12-09,87,219151.77,0,0,0
2010-12-10,95,269151.77,0,0,0
2010-12-11,99,270275.01,0,0,0
2010-12-12,96,270275.01,0,0,0
2010-12-13,100,270275.01,0,0,0
2010-12-14,106,314125.01,0,0,0
2010-12-15,104,314125.01,0,0,0
2010-12-16,107,314125.01,0,0,0
2010-12-17,107,314125.01,0,0,0
2010-12-18,106,314125.01,0,0,0
2010-12-19,107,314125.01,0,0,0
2010-12-20,114,394125.01,0,0,0
2010-12-21,110,270275.01,0,0,0
2010-12-22,115,350275.01,0,0,0
2010-12-23,112,270275.01,0,0,0
2010-12-24,112,270275.01,0,0,0
2010-12-25,112,270275.01,0,0,0
2010-12-26,116,350275.01,0,0,0
2010-12-27,117,350275.01,0,0,0
2010-12-28,124,350275.01,0,0,0
2010-12-29,134,310275.01,0,0,0
2010-12-30,134,310275.01,0,0,0
2010-12-31,135,310275.01,0,0,0
2011-01-01,136,310275.01,0,0,0
2011-01-02,136,310275.01,0,0,0
2011-01-03,134,310275.01,0,0,0
2011-01-04,137,310275.01,0,0,0
2011-01-05,138,310275.01,0,0,0
2011-01-06,136,310275.01,0,0,0
2011-01-07,148,438072.53,0,0,0
2011-01-08,148,469072.53,0,0,0
2011-01-09,148,469072.53,0,0,0
2011-01-10,150,469072.53,0,0,0
2011-01-11,148,469072.53,0,0,0
2011-01-12,149,406734.08,0,0,0
2011-01-13,150,375310.01,0,0,0
2011-01-14,176,607824.69,0,0,0
2011-01-15,175,557222.53,0,0,0
2011-01-16,176,557222.53,0,0,0
2011-01-17,163,529072.53,0,0,0
2011-01-18,154,375310.01,0,0,0
2011-01-19,155,375310.01,0,0,0
2011-01-20,184,557222.53,0,0,0
2011-01-21,197,681881.95,0,0,0
2011-01-22,200,728330.95,0,0,0
2011-01-23,200,757403.38,0,0,0
2011-01-24,200,710954.38,0,0,0
2011-01-25,195,686954.38,0,0,0
2011-01-26,184,939954.38,400000,0,0
2011-01-27,191,939954.38,250000,0,0
2011-01-28,195,963203.38,250000,0,0
2011-01-29,192,963203.38,250000,0,0
2011-01-30,208,963203.38,250000,0,0
2011-01-31,231,994337.16,250000,0,0
2011-02-01,274,1106432.92,403417.1,0,0
2011-02-02,278,1079016.43,404750.61,0,0
2011-02-03,272,1080406.91,406091.09,0,0
2011-02-04,301,1168353.48,407371.34,0,0
2011-02-05,317,1202903.48,407371.34,0,0
2011-02-06,312,1203514.71,407371.34,0,0
2011-02-07,309,1218969.81,407371.34,0,0
2011-02-08,315,1220387.13,407371.34,0,0
2011-02-09,356,1446054.84,407371.34,0,0
2011-02-10,321,1266706.1,407371.34,0,0
2011-02-11,366,1444234.8,404704.5,0,0
2011-02-12,372,1472699.86,404704.5,0,0
2011-02-13,373,1444484.8,404704.5,0,0
2011-02-14,378,1483773.62,404704.5,0,0
2011-02-15,373,1465869.13,404704.5,0,0
2011-02-16,373,1456522.27,404704.5,0,0
2011-02-17,376,1467078.33,404704.5,0,0
2011-02-18,327,1234379.01,404704.5,0,0
2011-02-19,340,1258048.91,404704.5,0,0
2011-02-20,322,1238889.41,404704.5,0,0
2011-02-21,318,1226915.64,404704.5,0,0
2011-02-22,337,1234102.5,404704.5,0,0
2011-02-23,334,1247513.23,404704.5,0,0
2011-02-24,355,1289921.63,404704.5,0,0
2011-02-25,346,1249026.97,404704.5,0,0
2011-02-26,361,1283894.41,404704.5,0,0
2011-02-27,335,1295684.94,404704.5,0,0
2011-02-28,336,1279744.13,400000,0,0
2011-03-01,348,1319350.46,385516,0,0
2011-03-02,388,1191861.06,250000,0,0
2011-03-03,390,1178521.82,250000,0,0
2011-03-04,379,1168129.86,250000,0,0
2011-03-05,384,1174880.06,250000,0,0
2011-03-06,378,1168755.2,250000,0,0
2011-03-07,375,1168357.19,250000,0,0
2011-03-08,373,1168475.24,250000,0,0
2011-03-09,373,1168475.24,250000,0,0
2011-03-10,404,1147984.65,250000,0,0
2011-03-11,389,1136684.65,250000,0,0
2011-03-12,405,1148260.01,250000,0,0
2011-03-13,394,1146758.54,250000,0,0
2011-03-14,397,1147009.05,250000,0,0
2011-03-15,394,1135976.67,250000,0,0
2011-03-16,389,1131094.64,250000,0,0
2011-03-17,382,1131144.66,250000.01,0,0
2011-03-18,377,1094583.65,250000.01,0,0
2011-03-19,369,1030682.65,250000.01,0,0
2011-03-20,370,1017238.17,250000.01,0,0
2011-03-21,370,1035682.65,250000.01,0,0
2011-03-22,379,1085383.18,250000.01,0,0
2011-03-23,395,1129744.31,250000.01,0,0
2011-03-24,399,1116894.66,250000.01,0,0
2011-03-25,403,1117622.36,250000.01,0,0
2011-03-26,392,1125450.79,250000.01,0,0
2011-03-27,390,1111378.62,250000.01,0,0
2011-03-28,382,1062017.49,250000.01,0,0
2011-03-29,384,1062017.49,250000.01,0,0
2011-03-30,384,1062067.5,250000.01,0,0
2011-03-31,386,1049416.52,250000.01,0,0
2011-04-01,386,1036666.52,250000.01,0,0
2011-04-02,390,1013438.73,250000.01,0,0
2011-04-03,390,1013438.73,250000.01,0,0
2011-04-04,374,1000538.73,250000.01,0,0
2011-04-05,381,1001039.13,250000.01,0,0
2011-04-06,385,1001039.13,250000.01,0,0
2011-04-07,388,1001039.13,250000.01,0,0
2011-04-08,388,1001089.13,250000.01,0,0
2011-04-09,390,1001089.13,250000.01,0,0
2011-04-10,392,1001089.13,250000.01,0,0
2011-04-11,405,1001239.16,250000.01,0,0
2011-04-12,435,1086751.29,250000.01,0,0
2011-04-13,470,1109704.48,250000.01,0,0
2011-04-14,480,1210099.5,250000.01,0,0
2011-04-15,475,1200049.55,250000.06,0,0
2011-04-16,545,1409456.15,250000.06,0,0
2011-04-17,556,1424271.05,250000.06,0,0
2011-04-18,580,1461905.64,250000.06,0,0
2011-04-19,560,1543306.36,341253,0,0
2011-04-20,549,1530513.81,250000.06,0,0
2011-04-21,576,1554512.11,250000.06,0,0
2011-04-22,625,1651815.76,402330.42,0,0
2011-04-23,737,1767446.53424904,402330.42,0,0
2011-04-24,693,1710920.3,402330.42,0,0
2011-04-25,689,1712730.33,402330.42,0,0
2011-04-26,733,1733116.69424904,402330.42,0,0
2011-04-27,773,1773967.49424904,402330.42,0,0
2011-04-28,896,2099337.4953327,598841.86,0,0
2011-04-29,1019,2198675.9953327,614433.22,0,0
2011-04-30,1101,2332611.7353327,846294.96,0,0
2011-05-01,1035,2286372.65,783870.89,0,0
2011-05-02,1056,2292456.05,815294.96,0,0
2011-05-03,1113,2325117.62,853294.96,0,0
2011-05-04,1127,2350459.57,853473.15,0,0
2011-05-05,1117,2342843.97,853473.15,0,0
2011-05-06,1160,2351972.21,849085.76,0,0
2011-05-07,1193,2391746.31,879046.59,0,0
2011-05-08,1235,2415758.88,868006.81,0,0
2011-05-09,1234,2413934.73747273,869073.07,0,0
2011-05-10,1651,2622641.17316456,1038924.34,0,0
2011-05-11,1617,2618315.90186837,1043211.3,0,0
2011-05-12,1741,2687234.52186837,1097260.87,172380.04,0
2011-05-13,2072,2767078.15186837,1202038.21,345140,0
2011-05-14,1943,2743639.66186837,1129073.52,375140,0
2011-05-15,1962,2746763.74373605,1188726.03,375140,0
2011-05-16,2073,2798399.41518611,1247190.7,375140,0
2011-05-17,1990,2784345.84518611,1208904.55,375140,0
2011-05-18,1929,2777429.1213677,1234375.96,230000,0
2011-05-19,1976,2782864.82090332,1216988.53,375140,0
2011-05-20,1711,2716551.93161955,1185135.75,230000,0
2011-05-21,1721,2772025.55349638,1235135.75,300000,0
2011-05-22,1941,2820487.9688597,1250133.75,299998,0
2011-05-23,2031,2838309.14030347,1248847.75,345140,0
2011-05-24,2144,2849208.55529827,1248847.75,345140,0
2011-05-25,2349,2893599.71093625,1349039.75,345140,0
2011-05-26,2399,2907856.3664468,1349071.35,345140,0
2011-05-27,2381,2903136.71808163,1347359.35,442140,0
2011-05-28,2376,2905157.62577184,1347956.35,442140,0
2011-05-29,2410,2909476.8195902,1348078.98,442140,0
2011-05-30,2496,2921397.17390285,1348878.98,442140,0
2011-05-31,2451,2918009.64430851,1348928.98,442140,0
2011-06-01,2616,2954717.33321483,1403299.64,442140,0
2011-06-02,3134,3052999.83882939,1722495.235,442140,0
2011-06-03,3487,3151155.61761876,1907665.785,599720.36,0
2011-06-04,3910,3207695.37304376,2021531.30824,599720.363,0
2011-06-05,3717,3181445.89171453,1974999.18724,599619.363,0
2011-06-06,4010,3210235.86391488,2001484.61617511,587619.032,0
2011-06-07,54325,3307131.79829422,2348363.93463347,835404.744,0
2011-06-08,54950,3375030.16521682,2430672.86463601,869304.744,0
2011-06-09,54846,3385017.76196937,2434766.69647093,866806.834,0
2011-06-10,54150,3334772.38596628,2335687.7706516,808342.494,0
2011-06-11,3822,3195053.82104736,1893012.18830617,502096.001,0
2011-06-12,4142,3299188.48206,2111321.96373913,693653.16854321,0
2011-06-13,4250,3337391.99459699,2153716.78373913,690753.40854321,0
2011-06-14,4268,3358282.18582189,2092363.33774753,692205.88754321,0
2011-06-15,4305,3359250.10964812,2103489.10586907,692205.88754321,0
2011-06-16,4073,3344596.7496919,2052160.50141248,637205.87754321,0
2011-06-17,3842,3308417.01471075,1959630.76868244,637205.87754321,0
2011-06-18,4062,3333093.80228758,1999321.58868244,637205.87754321,0
2011-06-19,4116,3363688.1044047,2097194.52692586,214853.011,0
2011-06-20,4141,3368625.77908701,2089688.16363049,214853.011,0
2011-06-21,4144,3374881.90970576,2095191.52803049,214853.011,0
2011-06-22,4164,3379357.09343951,2094924.87793049,214853.011,0
2011-06-23,4197,3381776.33494486,2101427.49087237,639095.43524242,0
2011-06-24,4220,3391998.33000352,2102793.60787237,639095.43524242,0
2011-06-25,4325,3378136.33482206,2078897.93387237,639095.43524242,0
2011-06-26,4197,3349118.40747148,2065527.16894238,639095.43524242,0
2011-06-27,4405,3367336.50571043,2086408.88430585,639095.43524242,0
2011-06-28,4541,3358642.64746811,2062642.23352674,639095.43524242,0
2011-06-29,4593,3352512.57902699,2047102.43211366,639095.43524242,0
2011-06-30,4504,3332482.07059566,2015719.25857414,639095.43524242,0
2011-07-01,4394,3338940.99855013,1997091.3689809,639095.43524242,0
2011-07-02,4417,3336859.26858253,1995588.18204692,639095.43524242,0
2011-07-03,4464,3343771.36200084,1993487.17554692,639095.43524242,0
2011-07-04,4252,3307471.38583762,1918281.89435296,639095.45524242,0
2011-07-05,4099,3306474.35814602,1893154.11497522,639095.45524242,0
2011-07-06,4389,3344444.71621711,1959722.07304695,639095.45524242,0
2011-07-07,4426,3343441.66596905,1959602.10304695,639095.45524242,0
2011-07-08,4390,3332671.53147725,1944745.07304695,639095.45524242,0
2011-07-09,4426,3336759.04820581,1943150.30304695,639095.45524242,0
2011-07-10,4509,3327764.86182177,1946914.70554695,639095.45524242,0
2011-07-11,4496,3323458.48331686,1933577.9469262,639095.45524242,0
2011-07-12,4469,3315074.87839529,1917857.6194262,639095.45524242,0
2011-07-13,4489,3311503.63499272,1916476.8954262,639095.45524242,0
2011-07-14,4504,3312385.46406654,1916132.3224262,639095.45524242,0
2011-07-15,4524,3306821.42411541,1915850.08891212,639095.45524242,0
2011-07-16,4522,3306454.93768003,1914698.81491212,639095.45524242,0
2011-07-17,4471,3296844.21655117,1884549.75041212,639095.45524242,0
2011-07-18,4470,3329876.66904959,1959943.79191212,599440.44524242,0
2011-07-19,4517,3331843.73503246,1956289.09341212,599440.44524242,0
2011-07-20,4533,3328253.40609013,1954664.79141212,599438.43524242,0
2011-07-21,4539,3328918.0306271,1953002.40091212,599438.43524242,0
2011-07-22,4567,3332762.4648597,1942658.45291212,599438.43524242,0
2011-07-23,4567,3336405.86245981,1942765.99532691,599438.43524242,0
2011-07-24,4645,3344952.72327636,1943408.84132691,599438.43524242,0
2011-07-25,4674,3347001.74648806,1941416.43882691,599438.43524242,0
2011-07-26,4654,3349552.96418632,1946660.48782691,599438.43524242,0
2011-07-27,4681,3351446.68401827,1928939.65658771,599438.43524242,0
2011-07-28,4692,3371287.72582501,1896631.92008771,599438.43524242,0
2011-07-29,4735,3371989.03443317,1893224.5109797,599438.43524242,0
2011-07-30,4763,3373869.74697373,1899357.5134797,599438.43524242,0
2011-07-31,4759,3370918.4472667,1891628.89377267,589438.43524242,0
2011-08-01,4704,3367131.74623696,1874628.89377267,569438.43524242,0
2011-08-02,4563,3342911.09168868,1829005.99064068,489482.43424242,0
2011-08-03,3162,3186903.70101276,1414819.62900195,384587.42424242,0
2011-08-04,4256,3320264.41375499,1786029.06344383,489482.43424242,0
2011-08-05,3210,3222880.6910537,1429576.26975886,489482.43424242,0
2011-08-06,2595,3118252.86574993,1307899.62913348,384587.42424242,0
2011-08-07,2919,3191204.32053348,1390659.39305247,384587.42424242,0
2011-08-08,2696,3203673.28402274,1352304.83055247,384587.42424242,0
2011-08-09,3184,3269948.88284602,1521345.63599609,489482.43424242,0
2011-08-10,4030,3348051.01538121,1871265.56996594,489482.43424242,0
2011-08-11,3150,3253331.54305301,1479551.94476983,384587.42424242,0
2011-08-12,3165,3256096.63530731,1479647.98106035,384587.42424242,0
2011-08-13,4065,3347121.02482104,1829112.08957525,489482.43424242,0
2011-08-14,4323,3368714.87657023,1905964.87412129,489482.43424242,0
2011-08-15,4475,3380857.15793414,1961355.71299056,489482.43424242,0
2011-08-16,4437,3372721.09835216,1914371.86249959,489482.43424242,0
2011-08-17,4364,3398782.89411753,1949808.83829959,489482.43424242,0
2011-08-18,4384,3399125.86114663,1949908.63249959,489482.43424242,0
2011-08-19,4574,3429772.12053754,1995083.52386886,489482.43424242,0
2011-08-20,4562,3425802.79253754,1995233.52386886,489482.43424242,0
2011-08-21,4569,3420606.93049754,1995283.52386886,489482.43424242,0
2011-08-22,4445,3408320.65013367,1961303.49784526,489482.43424242,0
2011-08-23,4482,3405308.54667246,1961350.43534526,489482.43424242,0
2011-08-24,4507,3407211.52664621,1968358.30633002,489482.43424242,0
2011-08-25,3377,3301557.24179843,1467536.47569282,489482.43424242,0
2011-08-26,3019,3258742.84286388,1376970.2872908,384587.42424242,0
2011-08-27,3039,3313462.63691045,1482651.50386348,0,0
2011-08-28,3170,3328711.51233374,1493951.50386348,0,0
2011-08-29,3165,3323212.8118202,1493951.50386348,0,0
2011-08-30,3134,3320114.18161928,1482651.50386348,0,0
2011-08-31,2984,3296215.47293489,1471483.71386348,0,0
2011-09-01,3009,3299707.46738868,1486898.23004798,0,0
2011-09-02,3083,3325197.57075494,1486898.23004798,0,0
2011-09-03,3076,3323283.24075494,1486898.23004798,0,0
2011-09-04,2936,3332526.52994374,1474730.44004798,0,0
2011-09-05,2813,3306588.39017258,1410783.33613556,0,0
2011-09-06,2676,3272605.39609059,1410783.33613556,0,0
2011-09-07,2704,3313731.02701232,1476283.33613556,0,0
2011-09-08,2621,3291402.09014744,1476283.33613556,0,0
2011-09-09,1947,3128892.42003426,1318858.55378988,0,0
2011-09-10,1885,3099892.1959692,1318858.55378988,0,0
2011-09-11,2300,3276183.62901771,1516083.33613556,0,0
2011-09-12,2345,3314356.50729519,1538083.43613556,0,0
2011-09-13,2290,3288754.77100432,1520883.33613556,0,0
2011-09-14,2258,3263259.23681272,1520883.33613556,0,0
2011-09-15,1917,3150400.83020637,1423658.55378988,0,0
2011-09-16,1915,3144762.52589409,1423658.55378988,0,0
2011-09-17,1916,3145730.38059409,1423658.55378988,0,0
2011-09-18,2211,3219990.39060476,1502917.97613556,0,0
2011-09-19,2300,3238103.24331801,1502917.97613556,0,0
2011-09-20,2499,3313681.28485336,1537867.43613556,0,0
2011-09-21,2309,3276115.35776236,1570867.34613556,0,0
2011-09-22,2283,3252675.87932339,1552901.98613556,0,0
2011-09-23,2326,3273618.83044262,1552901.98613556,0,0
2011-09-24,2301,3252898.22817509,1553601.98613556,0,0
2011-09-25,2281,3240589.81812429,1553501.98613556,0,0
2011-09-26,1982,3151186.36558513,1474258.56378988,0,0
2011-09-27,2002,3153502.80310796,1474458.56378988,0,0
2011-09-28,1983,3138349.17039045,1474458.56378988,0,0
2011-09-29,1990,3135983.65588894,1474458.56378988,0,0
2011-09-30,2283,3210277.11979429,1534301.98613556,0,0
2011-10-01,2248,3204191.93363651,1514447.21613556,0,0
2011-10-02,2240,3206188.0824209,1514447.21613556,0,0
2011-10-03,2256,3204411.92913651,1514447.21613556,0,0
2011-10-04,2064,3162226.80906627,1474458.56378988,0,0
2011-10-05,2053,3158525.10536627,1474458.56378988,0,0
2011-10-06,2022,3155753.80611025,1449820.11378988,0,0
2011-10-07,1910,3114671.64460482,1404671.11378988,0,0
2011-10-08,1784,3042085.47374756,1379932.20378988,0,0
2011-10-09,1867,3084720.63094003,1404671.11378988,0,0
2011-10-10,1868,3069692.87094003,1404671.11378988,0,0
2011-10-11,1853,3053036.61094003,1379932.20378988,0,0
2011-10-12,1895,3080572.1414656,1404671.11378988,0,0
2011-10-13,1859,3063181.8214656,1379932.20378988,0,0
2011-10-14,1791,3039218.8752674,1379932.20378988,0,0
2011-10-15,1753,3026242.81921466,1379932.20378988,0,0
2011-10-16,1693,2999432.70763056,1379932.20378988,0,0
2011-10-17,1350,2762457.423192,1209729.72871615,0,0
2011-10-18,1254,2700788.42908435,1209729.72871615,0,0
2011-10-19,1194,2651990.12275787,1209729.72871615,0,0
2011-10-20,1238,2706614.3435022,1209729.72871615,0,0
2011-10-21,1364,2766718.15159685,1209729.72871615,0,0
2011-10-22,1548,2869892.34465289,1320782.20378988,0,0
2011-10-23,1558,2871713.25129186,1320782.20378988,0,0
2011-10-24,1363,2757085.84057152,1209729.72871615,0,0
2011-10-25,1452,2797873.62915735,1285786.81378988,0,0
2011-10-26,1435,2795543.10713202,1285786.81378988,0,0
2011-10-27,1540,2836605.58761172,1320782.20378988,0,0
2011-10-28,1567,2887318.85566395,1322696.18874571,0,0
2011-10-29,1719,3024899.27340827,1396875.18874571,0,0
2011-10-30,1573,2915441.17149604,1368725.18874571,0,0
2011-10-31,1573,2918808.6693335,1368725.18874571,0,0
2011-11-01,1553,2907488.37027717,1337725.18874571,0,0
2011-11-02,1578,2928420.95086692,1368725.18874571,0,0
2011-11-03,1558,2917656.44422974,1337725.18874571,0,0
2011-11-04,1550,2900343.8839704,1337725.18874571,0,0
2011-11-05,1520,2859937.06011662,1337725.18874571,0,0
2011-11-06,1521,2856028.39365837,1337725.18874571,0,0
2011-11-07,1533,2876056.72049653,1337725.18874571,0,0
2011-11-08,1561,2881002.61972842,1337725.18874571,0,0
2011-11-09,1536,2853067.69629761,1338089.05874571,0,0
2011-11-10,1507,2850185.51011424,1303093.66874571,0,0
2011-11-11,1576,2891036.59588425,1338089.05874571,0,0
2011-11-12,1563,2879030.56145096,1338089.05874571,0,0
2011-11-13,1557,2868299.99544266,1338089.05874571,0,0
2011-11-14,1270,2699302.65360251,1227036.58367198,0,0
2011-11-15,1301,2725560.94326557,1227036.58367198,0,0
2011-11-16,1441,2788656.38283016,1141757.27384861,499720.70017663,0
2011-11-17,1306,2702794.29478937,1021296.1412212,499259.56754922,0
2011-11-18,1262,2589507.48074507,1020281.11968205,498244.54601007,0
2011-11-19,1302,2674155.1935504,1020012.95484125,497976.38116927,0
2011-11-20,1317,2648456.34755702,1020012.65484125,497976.08116927,0
2011-11-21,1347,2668169.50407965,1019888.14250432,497851.56883234,0
2011-11-22,1370,2691045.83144075,1018822.37197308,496785.7983011,0
2011-11-23,1378,2689571.62368529,1018704.06843372,496667.49476174,0
2011-11-24,1409,2721168.59541043,1018688.14443372,496651.57076174,0
2011-11-25,1435,2727110.21257976,1018688.09443372,496651.52076174,0
2011-11-26,1433,2704975.25505638,1018608.32443372,496571.75076174,0
2011-11-27,1435,2704343.78620103,1018193.60691333,496157.03324135,0
2011-11-28,1534,2766027.39321594,1148318.95106553,466816.85511305,0
2011-11-29,1624,2819114.68681819,1222406.48212561,464997.2964994,0
2011-11-30,1719,2852341.7050064,1246908.67913306,455123.88330685,0
2011-12-01,1770,2885555.20123224,1250694.9100725,454856.92132679,0
2011-12-02,1783,2882752.21922814,1246875.90823629,451037.91949058,0
2011-12-03,1686,2822458.43364909,1208270.46360324,447427.86485753,0
2011-12-04,1706,2825114.34011457,1207202.84734872,446360.24860301,0
2011-12-05,1746,2834401.38495813,1240231.98491228,444393.99616657,0
2011-12-06,1797,2856357.20293979,1231434.10642049,435596.11767478,0
2011-12-07,1793,2843329.79849646,1227356.6738428,431518.68509709,0
2011-12-08,1863,2808616.12255293,904408.84333586,0,0
2011-12-09,2039,2620307.5480325,795837.98874571,0,0
2011-12-10,2212,2566913.33790341,795837.98874571,0,0
2011-12-11,2424,2544616.90893533,826837.98874571,0,0
2011-12-12,2502,2483193.40793472,795837.98874571,0,0
2011-12-13,2550,2478732.09966006,826837.98874571,0,0
2011-12-14,2511,2466384.28817112,795837.98874571,0,0
2011-12-15,2529,2479799.93559512,795837.98874571,0,0
2011-12-16,2535,2479979.78658091,795837.98874571,0,0
2011-12-17,2540,2476851.20849677,795837.98874571,0,0
2011-12-18,2544,2468999.05441706,795837.98874571,0,0
2011-12-19,2758,2611606.90873657,886692.74874571,0,0
2011-12-20,2877,2717923.35891919,939842.74874571,0,0
2011-12-21,2864,2715218.18691605,939842.74874571,0,0
2011-12-22,2864,2721091.44969229,939842.74874571,0,0
2011-12-23,2870,2730480.97395433,939842.74874571,0,0
2011-12-24,2864,2739647.74382797,939842.74874571,0,0
2011-12-25,3093,2805981.70233088,964581.65874571,0,0
2011-12-26,2896,2750077.74490641,939842.74874571,0,0
2011-12-27,3007,2793312.72439552,964581.65874571,0,0
2011-12-28,3059,2829500.24415918,965136.55132215,0,0
2011-12-29,3047,2833862.40816033,965136.55132215,0,0
2011-12-30,3101,2839839.75283268,988385.55132215,0,0
2011-12-31,3279,2888719.04449466,1010286.53132215,0,0
2012-01-01,3786,3000029.73176395,1090734.85346783,0,0
2012-01-02,3775,2978460.20307215,1090734.85346783,0,0
2012-01-03,3386,2904297.61389004,1011058.23112215,0,0
2012-01-04,3976,3030237.66273866,1108700.21346783,0,0
2012-01-05,4591,3176902.35788354,1203247.94812931,0,0
2012-01-06,4563,3156545.17968331,1188372.94832931,0,0
2012-01-07,4624,3159837.87051099,1203247.94812931,0,0
2012-01-08,4756,3180009.76565141,1217690.10315183,0,0
2012-01-09,4332,3172013.34328772,1182184.49832931,0,0
2012-01-10,4442,3185371.80712127,1182184.49832931,0,0
2012-01-11,4701,3215358.29751832,1242137.94812931,0,0
2012-01-12,4683,3203557.26472419,1242137.94812931,0,0
2012-01-13,4454,3178263.22654441,1190074.49832931,0,0
